profile_id,profile_name,selection_note,real_threshold,generated_threshold,valid_auto_decision_rate,valid_review_rate,valid_real_auto_recall,valid_real_false_ai_rate,valid_generated_auto_recall,valid_generated_false_real_rate,valid_generated_risk_capture_rate,valid_review_count,valid_true_real_auto_real,valid_true_real_auto_ai,valid_true_generated_auto_ai,valid_true_generated_auto_real,test_auto_decision_rate,test_review_rate,test_real_auto_recall,test_real_false_ai_rate,test_generated_auto_recall,test_generated_false_real_rate,test_generated_risk_capture_rate,test_review_count,test_true_real_auto_real,test_true_real_auto_ai,test_true_generated_auto_ai,test_true_generated_auto_real
operational_low_false_ai,运营低误伤,low_false_ai_with_small_review,0.5,0.7,0.9994419642857143,0.0005580357142857143,0.998879677347076,0.0,0.77762953079831,0.22237046920169,0.77762953079831,5,4458,0,3497,1000,0.9993618960802187,0.0006381039197812216,0.9987221613727638,0.0,0.6358339402767662,0.3641660597232338,0.6358339402767662,7,5471,0,3492,2000
balanced_review,均衡复核,risk_capture_balanced,0.15,0.7,0.5266741071428571,0.4733258928571429,0.24871162894913734,0.0,0.77762953079831,0.02490549255058928,0.9750945074494107,4241,1110,0,3497,112,0.5020054694621695,0.49799453053783044,0.3203723986856517,0.0,0.6358339402767662,0.04734158776402039,0.9526584122359796,5463,1755,0,3492,260
high_risk_after_sales_review,高风险售后复核,risk_capture_first,0.125,0.7,0.43671875,0.56328125,0.09074613488684741,0.0,0.77762953079831,0.0024460751612185904,0.9975539248387814,5047,405,0,3497,11,0.387693710118505,0.6123062898814949,0.13417305585980285,0.0,0.6358339402767662,0.0047341587764020395,0.995265841223598,6717,735,0,3492,26
